,Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic
1,www.liquidgeneration.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
2,www.onlineanime.org,0,0,/,0,http,0,0,0,0,0,1,0,0,1,0,1
3,www.ceres.dti.ne.jp,0,0,/~nekoi/senno/senfirst.html,0,http,0,1,0,1,0,1,0,0,0,0,0
4,www.galeon.com,0,0,/kmh/,0,http,0,0,0,0,0,0,0,0,0,0,0
5,www.fanworkrecs.com,0,0,/,0,http,0,0,0,1,1,1,0,0,1,0,1
6,www.animehouse.com,0,0,/,0,http,0,0,0,0,0,1,0,0,1,0,1
7,www2.117.ne.jp,0,0,/~mb1996ax/enadc.html,0,http,0,1,0,1,0,1,0,0,0,0,2
8,archive.rhps.org,0,0,/fritters/yui/index.html,0,http,0,2,0,0,0,1,0,0,0,0,2
9,www.freecartoonsex.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,1,2
10,www.cutepet.org,0,0,/,0,http,0,0,0,2,0,0,0,0,0,0,2
11,www.taremeparadise.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,0,2
12,www.internetdump.com,0,0,/users/pornographite/index1.html,0,http,0,2,2,0,0,1,0,0,0,0,1
13,darkkaminari.net,0,0,NA,0,http,0,0,0,1,1,1,0,0,1,0,1
14,www.iei.net,0,0,/~bkos1/velneko.htm,0,http,0,2,0,0,0,1,0,0,1,0,1
15,www9.kinghost.com,0,0,/fetish/hentaibee/,0,http,0,0,0,2,0,2,0,0,0,1,0
16,www.jasonmeador.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
17,www.geocities.com,0,0,/kaseychan17/index.html,0,http,0,2,0,2,0,2,0,0,0,0,2
18,www.angelfire.com,0,0,/journal/coldlemonade/index.html,0,http,0,2,2,0,0,0,0,0,0,0,0
19,e.webring.com,0,0,/hub,0,http,0,0,2,0,0,0,0,0,0,0,2
20,www.nemurokinenkan.net,0,0,NA,0,http,0,0,0,1,1,1,0,0,1,0,1
21,j-heaven.tripod.com,0,0,/library.htm,1,http,0,2,0,0,0,0,0,0,0,0,1
22,www.angelfire.com,0,0,/poetry/nicolesstories/,0,http,0,0,0,0,0,0,0,0,0,0,0
23,thesheeparecoming.tripod.com,0,0,/papercrane/,0,http,0,0,0,0,0,0,0,0,0,0,1
24,www.geocities.com,0,0,/eddie_monsoon2002/,0,http,0,0,0,2,0,2,0,0,0,0,2
25,www.shokushu.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
26,www.geocities.com,0,0,/timessquare/arcade/7810/p_hgames.htm,0,http,0,2,2,2,0,2,0,0,0,0,2
27,www.hentaisocialclub.com,0,0,/ganguro/index.html,0,http,0,2,0,0,0,1,0,0,0,0,2
28,ryogamasaki.netfirms.com,0,0,/,0,http,0,0,0,0,0,0,0,0,1,0,0
29,members.tripod.com,0,0,/~chaz16/3.html,0,http,0,2,0,0,0,0,0,0,0,0,0
30,www.hentai-comics.com,0,0,/,1,http,0,0,0,2,0,2,0,0,0,0,2
31,www.jastusa.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
32,www.peachprincess.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
33,www.g-collections.com,0,0,NA,1,http,0,0,0,0,0,1,0,0,0,0,2
34,www.hentai-games.com,0,0,/,1,http,0,0,0,0,0,1,0,0,0,0,1
35,www.canadahentai.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
36,www.hirameki-int.com,0,0,NA,1,http,0,0,0,0,0,1,0,0,0,1,1
37,www.himeyashop.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
38,www.jlist.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,1,0
39,www.clubspooey.com,0,0,/spooey/,0,http,0,0,0,0,0,1,0,0,0,0,1
40,www.hentaigamer.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
41,www.pcrdist.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,1,2
42,www.densetsu.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
43,www.animetric.com,0,0,/bgames.html,0,http,0,2,0,0,0,1,0,0,0,0,2
44,www.jmate.com,0,0,/home.html,0,http,0,2,0,0,0,1,0,0,0,0,1
45,www.three-musketeers.net,0,0,/mike/animeopinions.html,1,http,0,2,2,0,0,1,0,0,0,0,2
46,engbishoujo.tripod.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
47,www.somethingawful.com,0,0,/hentai/,0,http,0,0,0,0,0,0,0,0,0,0,0
48,www.geocities.com,0,0,/aetus_kane/reviews.html,0,http,0,2,0,2,0,2,0,0,0,0,2
49,www.hentaigameszone.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
50,www.hentaineko.com,0,0,/html_peekv/peek_vgames.shtml,0,http,0,2,2,0,0,1,0,0,0,0,2
51,www.asahi-net.or.jp,0,0,/~uz9y-ab/yaoicomic.htm,1,http,0,1,0,1,0,1,0,0,0,0,0
52,www.geocities.com,0,0,/tokyo/villa/9953/yaoimain.html,0,http,0,2,2,2,0,2,0,0,0,0,2
53,www.commonastherain.com,0,0,/eros.html,0,http,0,2,0,2,0,1,0,0,0,0,1
54,www.angelfire.com,0,0,/anime3/hoshinokaze/,0,http,0,0,0,0,0,0,0,0,0,0,0
55,www.discarnate.com,0,0,/boysnextdoor/,0,http,0,0,0,0,0,1,0,0,0,0,2
56,www.geocities.com,0,0,/spirestudio/index.htm,0,http,0,2,0,2,0,2,0,0,0,0,2
57,www.angelfire.com,0,0,/me3/mandaplay/index.html,0,http,0,2,0,0,0,0,0,0,0,0,0
58,www.geocities.com,0,0,/tokyo/courtyard/9155/carosmen.htm,0,http,0,2,2,2,0,2,0,0,0,0,2
