Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
http,asesoresvelfit.com,/media/datacredito.co/,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,caixa.com.br.fgtsagendesaqueconta.com,/consulta8523211/principal.php,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,hissoulreason.com,/js/homepage/home/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,unauthorizd.newebpage.com,/webapps/66fbf/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,133.130.103.10,/23/,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,dj00.co.vu,/css/,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1
http,133.130.103.10,/21/logar/,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,httpssicredi.esy.es,/servico/sicredi/validarclientes/mobi/index.php,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
http,gamesaty.ga,/wp-content///yh/en/,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,luxuryupgradepro.com,/ymailNew/ymailNew/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,133.130.103.10,/1/,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,133.130.103.10,/24/sicredi/psmlId/31/paneid/index.htm,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,smscaixaacesso.hol.es,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,133.130.103.10,/7/SIIBC/siwinCtrl.php,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,tinyurl.com,/kjmmw57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
http,wrightlandscapes.org,/no/T/Y1.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,mautic.eto-cms.ru,/themes/goldstar/mtbonline/newmandt/,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,ginatringali.com,//al/alibaba21012015/alibaba21012015/666/index.html,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
https,staticmail.000webhostapp.com,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
http,umeda.com.br,/bba/BOA/home/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,krishworldwide.com,/BackUp/under/js/ayo1/index.html,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,yahoo.co.in,/email_open_log_pic.php,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
http,www.avcc.ac.in,/fonts/1/wropboxp/login.html,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
http,craig-hallum.ga,/sgg/1/login.htm,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,www.verification-mobile-nab.com,/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,verification-mobile-nab.com,/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,www.justpiddlinboutique.com,/win/image.htm,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,vcsolutionscorp.com,/Block/image.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,almasur.com,/wp-includes/pomo/docusign17/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,asesoresvelfit.com,/media/cms/datacredito.co/,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1
https,getpeopleplus.com,/EserviceMain/irs/ir/index.html,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
https,taeamigo.com,/EserviceMain/irs/ir/index.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
https,elmundo-latino.com,/ir/index.html,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,sociopremiosedescontos.com,/cadastro/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,cartaopremiadosicoob.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,ms-0ffice365supportplanquota.us.com0203499083934.elegantvapour.co.uk,/0-009021--0203499083934.l3992389100283901233232400349902132443940090132/hotmail.login/client_id=00000002-0000-0ff1-ce00-000000000000&amp;/000-pc.domain/officelogin1.html,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
